"ID","quadratic_converged","log_quadratic_converged","logistic_converged","log_logistic_converged","gompertz_converged","log_gompertz_converged","AIC_quadratic","AIC_log_quadratic","AIC_logistic","AIC_log_logistic","AIC_gompertz","AIC_log_gompertz","BIC_quadratic","BIC_log_quadratic","BIC_logistic","BIC_log_logistic","BIC_gompertz","BIC_log_gompertz","R2_quadratic","R2_log_quadratic","R2_logistic","R2_log_logistic","R2_gompertz","R2_log_gompertz","AICc_quadratic","AICc_log_quadratic","AICc_logistic","AICc_log_logistic","AICc_gompertz","AICc_log_gompertz"
95,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-199.276666694197,3.58475451363096,-98.5479590671843,-100.474003576595,-206.459267798581,-72.3128641406484,-193.947848653496,8.91357255433178,-93.2191410264835,-95.1451855358937,-199.798245247705,-65.6518415897723,0.995391228917231,0.934979867982208,0.831756036640805,0.998418596525456,0.996679845873078,0.995974540216748,-198.276666694197,4.58475451363096,-97.5479590671843,-99.4740035765946,-204.720137363799,-70.5737337058657
115,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-66.8832417109898,15.8280808027187,-171.692566937369,NA,-168.5020258681,-129.216638717671,-61.554423670289,21.1568988434195,-166.363748896668,NA,-161.841003317224,-122.555616166795,0.729903405656006,0.60652954783068,0.993604532955066,NA,0.99332673804509,0.99793855158559,-65.8832417109898,16.8280808027187,-170.692566937369,NA,-166.762895433317,-127.477508282888
165,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-60.5809327938245,53.2011917047896,-122.816586165927,NA,-118.841224377445,NA,-55.2521147531237,58.5300097454905,-117.487768125227,NA,-112.180201826569,NA,0.722285590545382,0.622752100664475,0.969919071226442,NA,0.967720252838996,NA,-59.5809327938245,54.2011917047896,-121.816586165927,NA,-117.102093942662,NA
169,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-75.5929688156776,44.5742023351058,-51.3684857480389,NA,-49.230836018993,8.78212448179693,-69.988179289029,50.1789918617545,-45.7636962213903,NA,-42.2248491106822,15.7881113901077,0.86852867459599,0.786132772598885,0.705207553067878,NA,0.703851841876859,0.939319677979803,-74.6698918926007,45.4972792581828,-50.445408824962,NA,-47.630836018993,10.3821244817969
91,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-258.467681026293,58.0331050704239,-254.563175825527,64.0225283821055,NA,NA,-253.435294874207,63.0654912225099,-249.530789673441,69.0549145341915,NA,NA,0.267885451368868,0.205754311897672,0.149256846390745,-3.25176108262326e-10,NA,NA,-257.376771935384,59.124014161333,-253.472266734618,65.1134374730146,NA,NA
103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-173.65037121341,-28.7787215577851,-174.253186106282,-83.3273765731728,-186.905290837013,-86.2658806293267,-168.321553172709,-23.4499035170843,-168.924368065582,-77.998558532472,-180.244268286137,-79.6048580784507,0.994198959331679,0.97163711472217,0.994322515733945,0.995957290305832,0.996635703864362,0.996610982560046,-172.65037121341,-27.7787215577851,-173.253186106282,-82.3273765731728,-185.166160402231,-84.5267501945441
201,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-116.034241302812,25.1475127336155,-127.336468319193,NA,-123.382334954348,-39.0017227707464,-110.705423262111,30.4763307743163,-122.007650278492,NA,-116.721312403472,-32.3407002198704,0.884403108524702,0.82197472658031,0.922795472579544,NA,0.917214859893704,0.983232326620792,-115.034241302812,26.1475127336155,-126.336468319193,NA,-121.643204519565,-37.2625923359638
205,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-165.45959000911,-0.816423017827605,-101.622158088301,-28.3626500224593,-176.140101137443,-41.8170613377757,-160.130771968409,4.51239502287321,-96.2933400476004,-23.0338319817585,-169.479078586566,-35.1560387868997,0.962805611950692,0.956611343311624,0.636395705279825,0.983777418056544,0.976351906618524,0.990658554941461,-164.45959000911,0.183576982172395,-100.622158088301,-27.3626500224593,-174.40097070266,-40.0779309029931
8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-217.844192704747,-40.7462384841408,-215.317632186534,-66.9549256748551,-211.179668739511,-65.9902019114453,-212.515374664046,-35.41742044344,-209.988814145833,-61.6261076341543,-204.518646188635,-59.3291793605693,0.980987990693136,0.952548053729219,0.979192673661558,0.981390112993382,0.977541683525414,0.982065632436206,-216.844192704747,-39.7462384841408,-214.317632186534,-65.9549256748551,-209.440538304728,-64.2510714766627
12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-219.789372260331,-18.6633844775625,-215.358810588287,-75.698065173577,-215.265830880638,NA,-214.460554219631,-13.3345664368617,-210.029992547586,-70.3692471328762,-208.604808329762,NA,0.978948091605709,0.920018555702083,0.975338938024459,0.98956837789956,0.976962629679321,NA,-218.789372260331,-17.6633844775625,-214.358810588287,-74.698065173577,-213.526700445855,NA
